nutrition/0/0,nutrition/0/1,nutrition/1/0,nutrition/1/1,nutrition/2/0,nutrition/2/1,nutrition/3/0,nutrition/3/1,nutrition/4/0,nutrition/4/1,nutrition/5/0,nutrition/5/1,nutrition/6/0,nutrition/6/1,nutrition/7/0,nutrition/7/1,nutrition/8/0,nutrition/8/1,nutrition/9/0,nutrition/9/1,nutrition/10/0,nutrition/10/1,nutrition/11/0,nutrition/11/1,nutrition/12/0,nutrition/12/1,nutrition/13/0,nutrition/13/1,nutrition/14/0,nutrition/14/1,nutrition/15/0,nutrition/15/1,nutrition/16/0,nutrition/16/1,nutrition/17/0,nutrition/17/1,caloriesFromFat,calories,tags/0,tags/1,tags/2,tags/3,tags/4,tags/5,tags/6,directions/0,directions/1,ingredients/0,ingredients/1,ingredients/2,ingredients/3,ingredients/4,ingredients/5,ingredients/6,ingredients/7,ingredients/8,ingredients/9,ingredients/10,servingsNumber,totalTime,cookTime,prepTime,photoUrl,shortDescription,title,directions/2,ingredients/11,ingredients/12,directions/3,ingredients/13,ingredients/14,ingredients/15,ingredients/16,directions/4,directions/5,directions/6,directions/7,ingredients/17,ingredients/18,ingredients/19,ingredients/20,directions/8,tags/7,directions/9,directions/10,directions/11,directions/12,ingredients/21,ingredients/22,ingredients/23,ingredients/24,ingredients/25,ingredients/26,ingredients/27,ingredients/28,ingredients/29,ingredients/30,ingredients/31,ingredients/32,ingredients/33,ingredients/34,ingredients/35,ingredients/36,ingredients/37
Total Fat,3g,Sodium,298mg,Dietary Fiber,5g,Protein,5g,Sugars,2g,Cholesterol,0mg,Total Carbs,24g,,,,,,,,,,,,,,,,,,,,,,,,141,Family Inspired,BUSH'S,special,dark red kidney beans,,,,"Heat oil in a 10-inch skillet over medium heat. Add onion, pepper, celery, garlic and spices. Cook 4-5 minutes. ",Stir in beans and stock. Stir in rice; cover and cook over low heat for 10 minutes. ,1 tablespoon olive oil,"1 small onion, chopped","1 medium green pepper, chopped","2 ribs celery, chopped","1 clove garlic, chopped",2 teaspoons Cajun seasoning,1 teaspoon dried thyme,1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Dark Red Kidney Beans,1/2 cup chicken stock,2 cups cooked brown or white rice,salt and pepper,8, 30   Minutes, 15   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/Specialrecipes/a62e9d74-c8e7-42d2-a9b8-9dafbbefe041.jpg,"Onions, pepper, celery, and spices add flavor and crunch to this easy rice and beans skillet dinner.",Dirty Rice â€˜n Beans,Stir in green onions. Season with salt and pepper to taste before serving.,"4 green onions, thinly sliced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,7g,Saturated Fat,1g,Sodium,916mg,Carbohydrates,68g,Dietary Fiber,7g,Protein,16g,Sugars,3g,Vitamin C,4mg,Calcium,50mg,Iron,4mg,Thiamin,1mg,Niacin Equivalents,7mg,Vitamin B6,0mg,Magnesium,32mg,Folate,153mcg,Vitamin A - IU,300IU,Cholesterol,0mg,Potassium,206mg,60,399,vegetarian,great northern,BUSHâ€™SÂ® beans,quick & easy,,,,"In medium bowl, combine all ingredients except bread; mix well.",Spoon mixture on bread and serve.,"1 (15.8 ounce) can BUSHâ€™S<sup>Â®</sup> Great Northern Beans, rinsed and drained","1 large ripe tomato, diced",2 tablespoons chopped fresh basil,2 tablespoons olive oil,"1 clove garlic, minced",1/4 teaspoon black pepper or red pepper flakes,"24 slices (1/2-inch thick) French or Italian bread, grilled or lightly toasted*",,,,,6 appetizers, 15   Minutes,0   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/502bbb12-8d6b-4f56-9a98-bd7b722e1879.jpg,A healthy twist on traditional bruschetta that is full of flavor.,Italian Bean Bruschetta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,32g,Sodium,1589mg,Dietary Fiber,10g,Protein,44g,Sugars,39g,Cholesterol,123mg,Total Carbs,69g,,,,,,,,,,,,,,,,,,,,,,,,745,,,,,,,,"For Rub: In medium bowl mix together salt, paprika, garlic, black pepper, sugar, red pepper flakes and chipotle chile powder. Set aside.",For Chicken Wings: Rinse wing pieces and dry with paper towel. Place wings on platter and distribute rub mixture evenly on both sides of wings.,For Rub:,1 teaspoon kosher salt,1 teaspoon smoked paprika,Â_ teaspoon dried minced garlic,"Â_ teaspoon black pepper, coarsely ground",Â_ teaspoon brown sugar or Turbinado sugar*,Â_ teaspoon red pepper flakes,Â_ teaspoon chipotle chile powder,For Chicken Wings:,"4Â_ pounds chicken wing pieces, about 20 wings (wingettes and drumettes)",For Sauce:,4, 1 hour, 45   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/cd3a7b93-6a41-41f4-908c-07b95060311f.jpg,"Recipe created for BUSHâ€™S<sup>Â®</sup> Baked Beans by Chris Grove, author of the outdoor cooking blog www.NibbleMeThis.com",Grilled Chipotle & Honey Wings,"Set clean, well-oiled grill to medium heat (400 degrees F). When grill is hot, using tongs, place wings on grill and cook over indirect heat** with grill lid down, 20 minutes per side or until internal temperature reaches 170 degrees F.","2 tablespoons unsalted butter, melted",3 tablespoons honey,"For Sauce: While wings are cooking, in small bowl mix together butter, honey and barbecue sauce. Set aside.",4 tablespoons smoky barbecue sauce,1 can (28 ounces) BUSHâ€™S<sup>Â®</sup> Honey Baked Beans,,,Remove wings from grill using tongs and place in large bowl. Use caution as wings will be hot. Cover wings with sauce and toss to coat evenly.,"Using tongs, return wings to grill and cook with grill lid open over direct heat for 2-3 minutes per side until crispy (watch carefully to prevent sauce from burning). Remove wings from grill and place on platter.",Serve with BUSHâ€™S Honey Baked Beans.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,27g,Sodium,1473mg,Dietary Fiber,9g,Protein,25g,Sugars,6g,Cholesterol,51mg,Total Carbs,56g,,,,,,,,,,,,,,,,,,,,,,,,558,Family Inspired,BUSH'S,special,black beans,,,,Heat oven to 350Â°F. Mix half the Cheddar cheese with the Monterey Jack cheese in a bowl; set aside. ,"Brush a baking sheet with 1 tablespoon of the oil and arrange tortillas in a single layer. Puncture each tortilla a few times with a fork. Sprinkle remaining Cheddar cheese evenly over 4 of the tortillas, then cover each with a remaining tortilla. Bake 5-6 minutes or until browned slightly.",1 1/4 cups shredded Cheddar cheese,1/4 cup shredded Monterey Jack cheese ,2 tablespoons olive oil,8 (6-inch) flour tortillas,"1 small onion, chopped","1 (15 ounce) can BUSHâ€™S<sup>Â®</sup> Black Beans, drained ","1/2 cup salsa, mild or spicy",2 ounces canned chopped green chiles,2 ounces pulled pork or chorizo (casing removed),,,4, 45   Minutes, 25   Minutes, 20   Minutes,http://bbcdn.ar-cdn.com/Recipes/Specialrecipes/ed154785-7080-454a-8301-4bcad3b44e62.jpg,"Lots of cheese, BUSHâ€™S<sup>Â®</sup> Black Beans, salsa, green chiles, and sausage give these tortilla pizzas a spicy, Mexican spin.",Mexican Bean Pizza,"While tortillas bake, heat remaining oil in a skillet and cook onions until browned. Add beans and partially mash with a potato masher or the back of a fork.",,,"Remove tortilla pizzas from oven and top each with bean mixture, spreading evenly. Top with salsa, green chiles, pulled pork or chorizo and cheese mixture.",,,,,"Return to oven. Bake until cheese melts, about 10-20 minutes. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,25g,Sodium,1574mg,Dietary Fiber,7g,Protein,21g,Sugars,5g,Cholesterol,45mg,Total Carbs,43g,,,,,,,,,,,,,,,,,,,,,,,,488,Family Inspired,BUSH'S,special,chili beans,,,,"Heat beans in a medium saucepan until just heated through; stir in chili powder, if desired.",Cook hot dogs according to package directions.,"1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Chili Beans, drained ",1 teaspoon chili powder (optional),4 all-beef hot dogs,4 soft hot dog buns,2 tablespoons mustard,"3 slices bacon, crisped and coarsely chopped","2 tablespoons white onion, chopped","1 small tomato, cored and chopped",1/4 cup shredded mild Cheddar cheese,,,4, 30   Minutes, 15   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/Specialrecipes/1e7a97d3-0942-47c0-96d3-850c2f5f07f6.jpg,"Chili beans with a touch of chili powder add some heat to these Cheddar chili dogs with bacon, onion, and tomato.",Cheddar Chili Dogs,"Spread each bun with mustard. Place a hot dog in each bun and top with beans. Sprinkle each with bacon, onion, tomato and cheese. Serve hot.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,16g,Saturated Fat,8g,Sodium,715mg,Carbohydrates,17g,Dietary Fiber,4g,Fiber,641IU,Protein,25g,Sugars,4g,Vitamin C,28mg,Calcium,322mg,Iron,2mg,Niacin Equivalents,7mg,Vitamin B6,1mg,Magnesium,49mg,Folate,60mcg,Vitamin A - IU,0mg,Cholesterol,88mg,Potassium,651mg,147,316,BUSHâ€™SÂ® beans,pasta,kid friendly,,,,,"In a skillet, cook ground beef until browned drain. Stir in BUSHâ€™S<sup>Â®</sup> Chili Magic Chili Starter and tomatoes. Simmer, uncovered for 30 minutes or until thickened, stirring occasionally.","Combine ricotta cheese, egg, garlic salt, and pepper; mix well.",1 (15.5 ounce) can BUSHâ€™S<sup>Â®</sup> Chili Magic Chili Starter,1 pound lean ground beef,1 (8 ounce) can tomatoes,1 (15 ounce) container part-skim ricotta cheese,"1 egg, beaten",1/4 teaspoon garlic salt,1/4 teaspoon pepper,1/4 cup grated Parmesan cheese,"6 medium zucchini, thinly sliced",1 cup shredded mozzarella cheese,,8 servings, 45   Minutes, 30   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/146445.jpg,"A favorite comfort food gets a new twist with BUSHâ€™S<sup>Â®</sup> Chili Magic Chili Starter, zucchini and a blend of three delicious cheeses.",Summer Lasagna,"Layer half of zucchini slices, cheese mixture and meat mixture in lightly greased 2-quart oblong baking dish. Repeat layers. Sprinkle with mozzarella cheese. Bake at 375 degrees F for 30 minutes. Let stand 10 minutes before serving.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,35g,Sodium,1945mg,Carbohydrates,60g,Dietary Fiber,9g,Protein,27g,Sugars,16g,Cholesterol,67mg,,,,,,,,,,,,,,,,,,,,,,,,662,,,,,,,,Individually wrap bacon around each bratwurst.,"Using 2-3 toothpicks, hold bacon in place on bratwurst. (Tip: To avoid bratwursts curling, stick additional skewer through length of bratwursts before placing on grill. If using wooden skewers, soak in water for at least 1 hour before use to prevent burning.)","6	slices			bacon","6	each (3-4 ounces)	bratwursts","1	tablespoon		olive oil	","2	each			medium red onions, sliced","2	each			green peppers, sliced","6	each			bratwurst buns","1	can (28 ounces)		BUSHâ€™S<sup>Â®</sup> Maple Cured Bacon Baked Beans",,,,,6, 20   Minutes, 10   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/97b49ff8-4e36-48b3-9613-13e3849fa9fe.jpg,"Recipe created for BUSHâ€™S<sup>Â®</sup> Baked Beans by Maria Lichty, author of cooking, baking and entertaining blog, â€œTwo Peas and Their Podâ€ù (www.TwoPeasAndTheirPod.com).",Bacon Wrapped Bratwursts,"Set clean, well-oiled grill to medium heat. When grill is hot, using tongs, place bratwursts on grill. Cook 7-10 minutes. Rotate every 2-3 minutes until bratwurst internal temperature is at least 160 degrees F and bacon is slightly crispy.",,,"About 7 minutes before bratwursts are done cooking, coat medium skillet with olive oil.",,,,,Add onions and peppers to skillet. SautÃ© over medium high heat until tender (about 5-7 minutes).,"Using tongs, remove bratwursts from grill and place on platter. Remove toothpicks or skewers from bratwursts and place in buns. Top with onions and peppers. ",Serve with BUSHâ€™S Maple Cured Bacon Baked Beans.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,36g,Sodium,1232mg,Dietary Fiber,11g,Protein,19g,Cholesterol,31mg,Total Carbs,85g,,,,,,,,,,,,,,,,,,,,,,,,,,719,,,,,,,,"In food processor, combine Grillinâ€™ Beans, sour cream and cheese. Pulse for 10 seconds or until mixture is smooth.","Using rubber spatula, transfer bean mixture to serving bowl. Add optional garnishes, as desired. ",1 can (21 ounces)BUSHâ€™S<sup>Â®</sup> Texas Ranchero<sup>Â®</sup> Grillinâ€™ Beans<sup>Â®</sup>,Â_ cup sour cream,Â_ cup shredded sharp Cheddar cheese,1 bag (13 ounces) tortilla chips,"Optional Garnishes: Chopped green onions, shredded sharp Cheddar cheese",,,,,,,4, 5   Minutes,0   Minutes, 5   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/ecd736a4-1a45-4f44-b3c2-91077e507eba.jpg,"Ready in five minutes using a food processor, this creamy dip with spicy beans, sour cream, and Cheddar cheese is perfect with your favorite tortilla chips.",Creamy Ranchero Dip,Serve with tortilla chips. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,5g,Sodium,459mg,Dietary Fiber,4g,Protein,8g,Sugars,2g,Cholesterol,10mg,Total Carbs,29g,,,,,,,,,,,,,,,,,,,,,,,,198,BUSHâ€™SÂ® beans,quick & easy,,,,,,"In a large skillet, cook onion, peppers and ham in oil for 4 minutes or until vegetables are tender. ","Drain blackeye peas, reserving Â_ cup liquid. ","2 cans (15.8 ounce) BUSHâ€™S<sup>Â®</sup> Blackeye Peas with Snaps, undrained","1 cup onion, chopped","1 sweet red pepper, chopped","1 green pepper, chopped",1 cup chopped cooked ham,2 tablespoons vegetable oil,"Â_ to 1 teaspoon	hot pepper sauce","3 cups white rice, cooked",Salsa (optional),Sour Cream (optional),,6, 20   Minutes, 15   Minutes, 5   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/146462.jpg,"This spicy dish combines blackeye peas with chopped peppers for a distinct southern flavor, great for any time of year-not just for New Years!",Hopping John Over Rice,"Add blackeye peas, reserved liquid and hot pepper sauce to ham mixture; stir to combine. ",,,Spoon over rice. ,,,,,"Top with salsa and sour cream, if desired.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat,16g,Sodium,1275mg,Dietary Fiber,10g,Protein,37g,Sugars,8g,Cholesterol,72mg,Total Carbs,57g,,,,,,,,,,,,,,,,,,,,,,,,501,Family Inspired,BUSH'S,special,black beans,,,,Heat 1 tablespoon of the oil in a 10-inch skillet over medium-high heat. Add chicken pieces; brown slightly. Remove chicken and set aside. ,Wipe skillet; heat remaining olive oil. ,2 tablespoons olive oil,"1 pound boneless, skinless chicken breast, cut into 1/2-inch pieces","1/2 pound fresh mushrooms, sliced","1 medium green pepper, chopped","1 small onion, chopped","2 ribs celery, chopped","1 clove garlic, chopped","1/2 cup frozen corn, thawed and drained","1 (15 ounce) can BUSHâ€™S<sup>Â®</sup> Black Beans, drained ","2 cups salsa, mild or spicy",2 cups cooked white rice,4, 37   Minutes, 17   Minutes, 20   Minutes,http://bbcdn.ar-cdn.com/Recipes/Specialrecipes/1084c67c-8fd1-4cb9-956a-493e88811f90.jpg,Spicy chicken and BUSHâ€™S<sup>Â®</sup> Black Beans with lots of veggies are served over white rice for a quick weeknight dinner.,Salsa Chicken Skillet,"Add mushrooms, green pepper, onion, celery, garlic, corn and beans. Bring to simmer. Stir in chicken and salsa; return to simmer. Cook 5-7 minutes. ",1/4 cup sour cream,1/4 cup shredded Cheddar cheese,"Serve over rice, topping with sour cream and cheese. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,10g,Saturated Fat,4g,Sodium,1440mg,Carbohydrates,52g,Dietary Fiber,6g,Protein,12g,Sugars,7g,Vitamin C,29mg,Calcium,121mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,2mg,Vitamin B6,0mg,Magnesium,14mg,Folate,35mcg,Trans Fat,929IU,Cholesterol,16mg,Potassium,245mg,91,350,BUSHâ€™SÂ® beans,party favs,,,,,,"Cook bacon in skillet until crisp. Remove bacon and drain, reserving 2 tablespoons bacon drippings.  Cook onion and peppers in bacon drippings until tender. Add BUSHâ€™S<sup>Â®</sup> Blackeye Peas and hot sauce and heat through.","Prepare cornbread mix using 9 x 13-inch pan. Cook according to directions. Cut into 2-inch squares. Top with blackeye peas, salsa, sour cream and crumbled bacon.",5 slices bacon,"1 medium onion, diced","1 red bell pepper, diced","1 green bell pepper, diced",2 (15.8 ounce) cans BUSHâ€™S<sup>Â®</sup> Blackeye Peas,1 teaspoon hot sauce,1 (7.5 ounce) package corn bread mix,Salsa,Sour cream,,,6 servings, 25   Minutes, 15   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/71684.jpg,Two Southern favorites - cornbread and blackeye peas - come together in one great dish!,Country Cornbread Hoppin' John,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,18g,Saturated Fat,5g,Sodium,1225mg,Carbohydrates,57g,Dietary Fiber,10g,Protein,23g,Sugars,7g,Vitamin C,0mg,Calcium,36mg,Iron,2mg,Thiamin,0mg,Niacin Equivalents,6mg,Vitamin B6,0mg,Magnesium,36mg,Folate,26mcg,Vitamin A - IU,5IU,Cholesterol,46mg,Potassium,230mg,160,484,BUSHâ€™SÂ® beans,party favs,kid friendly,,,,,"In skillet, cook ground beef until browned; drain. Stir in taco seasoning mix and BUSHâ€™S<sup>Â®</sup> Baked Beans. Bring to a boil and simmer for 8 to 10 minutes or thoroughly heated. Spoon bean mixture into taco shells. Top with favorite toppings.",,2 (16 ounce) cans BUSHâ€™S<sup>Â®</sup> Baked Beans,1 pound lean ground beef,1 envelope taco seasoning mix,12 taco shells,Favorite taco toppings,,,,,,,12 tacos, 15   Minutes, 10   Minutes, 5   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/146418.jpg,A taco recipe doesn't get any easier than this and everyone in your family will love the recipe variation using baked beans.,Beef and Bean Tacos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,13g,Sodium,743mg,Dietary Fiber,9g,Protein,25g,Sugars,26g,Cholesterol,48mg,Total Carbs,116g,,,,,,,,,,,,,,,,,,,,,,,,663,,,,,,,,"In medium saucepan, heat jam and vinegar over low heat.  Stirring occasionally, allow mixture to simmer for about 15 minutes or until mixture is reduced by a third.",Remove mixture from heat and cool for 10 minutes.,"1	cup 			cherry jam","1	cup		              balsamic vinegar","2	pounds			mini chicken wings (drumsticks or wings) ","1	can (28 ounces)		BUSHâ€™S<sup>Â®</sup> Boston Recipe Baked Beans",,,,,,,,5, 1 hour 55   Minutes, 40   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/9ae3b5af-4e34-46df-96f3-72150ab1a17e.jpg,"Recipe created for BUSHâ€™S<sup>Â®</sup> Baked Beans by Vanessa Druckman, author of cooking blog, â€œChefdruck Musingsâ€ù (www.Chefdruck.com).",Balsamic Cherry Chicken Wings,"Rinse wings in cold water and dry with paper towel. Place wings in large bowl. Using spatula, cover wings with mixture and refrigerate for 1 hour to overnight.",,,"Set clean, well-oiled grill to medium heat. When grill is hot, using tongs, place wings on grill and cook 10 minutes, with grill lid closed.",,,,,Flip wings using tongs and cook with grill lid closed for 5 minutes or until internal temperature is at least 165 degrees F. ,"Using tongs, remove wings from grill and place on platter. Allow wings to rest at least 5 minutes before serving. ",Serve with BUSHâ€™S Boston Recipe Baked Beans.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,13g,Saturated Fat,2g,Sodium,1382mg,Carbohydrates,66g,Dietary Fiber,13g,Protein,33g,Sugars,6g,Vitamin C,36mg,Calcium,163mg,Iron,3mg,Thiamin,0mg,Niacin Equivalents,16mg,Vitamin B6,1mg,Magnesium,55mg,Folate,92mcg,Vitamin A - IU,1071IU,Cholesterol,45mg,Potassium,485mg,121,519,garbanzo,BUSHâ€™SÂ® beans,quick & easy,,,,,Combine cumin and chili powder in a plastic bag. Add chicken and shake to coat.,"Heat 1 tablespoon oil in large skillet over medium heat. Add chicken; cook 5 minutes or until chicken is no longer pink, stirring frequently. Take off heat, set aside to cool.",1 tablespoon ground cumin,1 teaspoon chili powder,"1 pound chicken breast, cut in 1-inch cubes",4 tablespoons olive oil,1/4 cup lemon juice,"2 (16 ounce) cans BUSHâ€™S<sup>Â®</sup> Garbanzo Beans, rinsed and drained","3 green onions, thinly sliced","1 red bell pepper, diced",1/4 cup chopped fresh parsley,6 pita pockets,Non-fat plain yogurt or sour cream,6 servings, 20   Minutes, 5   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/7fddbdbf-02b4-4842-9303-8da7eb466afb.jpg,This quick lunch or dinner includes cumin spiced chicken and veggies served in a pita pocket. Cool off the spicy kick with sour cream or yogurt.,Rockin' Moroccan Garbanzo Pita,"Combine remaining ingredients, mixing well. Stir in chicken. Add salt and pepper to taste.",Salt and freshly ground black pepper to taste,,"Cut top off pitas to open. Divide chicken mixture among the pitas; top with yogurt or sour cream, if desired.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,24g,Sodium,1925mg,Carbohydrates,44g,Dietary Fiber,8g,Protein,47g,Sugars,3g,Cholesterol,140mg,,,,,,,,,,,,,,,,,,,,,,,,587,chicken,kabob,main,30 minutes to 1 hour,sweet mesquite,grilled,bold recipes,"For Marinade: In large bowl, mix together garlic, paprika, red pepper, thyme, oil and salt. ","For Kabobs: Place chicken in bowl of marinade, turn to evenly coat. Cover bowl tightly with plastic wrap and refrigerate for 3 hours to overnight.",For Marinade:,"1 tablespoon garlic, chopped",1 1/2 teaspoons smoked paprika,1/2 teaspoon ground (cayenne) red pepper ,2 teaspoons dried thyme leaves ,2 tablespoons olive oil,2 teaspoons salt,For Kabobs:,"2 pounds  skin on chicken thighs, cut into 1-inch pieces","1/2 each  large white onion, peeled and cut into 1-inch pieces","1 each  red bell pepper, cut into 1-inch pieces",4, 40   Minutes, 10   Minutes, 30   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/620a53c7-ea00-437d-8c2a-f07a3dc7bff9.jpg,A selection of spices gives these kabobs a peppery zing. Featuring BUSHâ€™S<sup>Â®</sup> Sweet Mesquite Grillin' Beans,Peppery Chicken Kabobs,"Using skewers create kabob by threading chicken, onion and pepper, leaving 1/2-inch of space between each piece for even grilling. Alternate between chicken, onion and pepper until all pieces are used. (Tip: If using wooden skewers, soak in cold water for at least 1 hour before use to prevent burning).",Salt and pepper,1 12-inch sheet plastic wrap,Season kabobs with salt and pepper. ,Wooden or metal skewers (recommend metal),1 can  (21.5 ounces) BUSHâ€™S<sup>Â®</sup> Sweet Mesquite Grillinâ€™ Beans<sup>Â®</sup> ,"Optional Garnish: Fresh flat leaf parsley, roughly chopped",,"Set clean, well-oiled grill to medium-high heat. When grill is hot, using tongs, place kabobs on grill. Cook 4 minutes. Using tongs, flip kabobs and cook 5 minutes or until chicken internal temperature is at least 165 degrees F and onions and peppers are slightly crispy.","Using tongs, remove kabobs from grill and place on platter. Garnish with parsley, as desired. Be sure to remove all ingredients from skewers before eating. ",Serve with BUSHâ€™S Sweet Mesquite Grillinâ€™ Beans.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,10g,Saturated Fat,3g,Sodium,929mg,Carbohydrates,25g,Dietary Fiber,9g,Protein,7g,Sugars,3g,Vitamin C,10mg,Calcium,72mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,1mg,Vitamin B6,0mg,Magnesium,10mg,Folate,17mcg,Vitamin A - IU,1156IU,Cholesterol,8mg,Potassium,137mg,88,211,garbanzo,BUSHâ€™SÂ® beans,quick & easy,,,,,"In a medium bowl, combine BUSHâ€™S<sup>Â®</sup> Garbanzo Beans, tomatoes, olives, green onions and dressing. Mix well. Spoon salad onto four lettuce-lined plates; top with cheese.",,"1 (16 ounce) can BUSHâ€™S<sup>Â®</sup> Garbanzo Beans, rinsed and drained",1 cup halved cherry tomatoes,"1 (2.25 ounce) can sliced black olives, drained*","2 green onions, sliced",1/4 cup Italian salad dressing,4 large lettuce leaves,1/4 cup crumbled feta**,,,,,4 servings, 10   Minutes,0   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/c4fe46f9-fe19-4ebf-82ab-1edfcb3bdd10.jpg,"Garbanzo beans, tomatoes, and olives served over lettuce and topped with feta cheese make for a light summer salad.",Ten Minute Summer Salad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,9g,Saturated Fat,4g,Sodium,1060mg,Carbohydrates,23g,Dietary Fiber,4g,Protein,5g,Sugars,2g,Vitamin C,6mg,Calcium,107mg,Iron,1mg,Thiamin,0mg,Niacin Equivalents,1mg,Vitamin B6,0mg,Magnesium,10mg,Folate,16mcg,Vitamin A - IU,361IU,Cholesterol,16mg,Potassium,121mg,77,192,BUSHâ€™SÂ® beans,party favs,,,,,,Preheat oven to 375 degrees F.,"Cook onion, green pepper, and celery in oil for 3-5 minutes. Add soup and milk. Stir until smooth. Add cheese and seasonings. Fold in 1 can BUSHâ€™S<sup>Â®</sup> Golden Hominy. Pour into 1 quart casserole which has been well-greased.",1 tablespoon butter or oil,1/4 cup chopped onion,1/4 cup chopped green pepper,1/2 cup chopped celery with leaves,1 (10.5 ounce) can cream of mushroom soup,1/4 cup milk,1/2 cup grated cheese,1/8 teaspoon cayenne pepper,1 teaspoon Worcestershire sauce,Paprika,"1 (30 ounce) can BUSHâ€™S<sup>Â®</sup> Golden Hominy, drained",6 servings, 1 hour, 45   Minutes, 15   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/146478.jpg,This tasty casserole with golden hominy is sure to warm your family up on cold winter nights!,Delicious Hominy Casserole,Tear one or two slices of bread into small pieces to make soft crumbs. Top casserole with crumbs. Sprinkle with Parmesan cheese and paprika. Bake at 375 degrees F for 30 minutes.,Soft bread crumbs,Parmesan cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Fat,5g,Saturated Fat,1g,Sodium,589mg,Carbohydrates,19g,Dietary Fiber,6g,Protein,14g,Sugars,4g,Vitamin C,18mg,Calcium,26mg,Iron,2mg,Thiamin,0mg,Niacin Equivalents,3mg,Vitamin B6,0mg,Magnesium,17mg,Folate,10mcg,Vitamin A - IU,1025IU,Cholesterol,24mg,Potassium,354mg,42,182,chili,pinto,BUSHâ€™SÂ® beans,,,,,"In a large pan, cook meat in oil until browned on all sides; drain.","Add remaining ingredients; stir to combine. Bring to a boil; cover, reduce heat and cook for 30 to 40 minutes or until meat is tender.","1 pound lean top round steak, cut into thin strips",1 tablespoon vegetable oil,2 (15 ounce) cans BUSHâ€™S<sup>Â®</sup> Pinto Beans,1 (14.5 ounce) can diced tomatoes,1 (6 ounce) can tomato paste,1/2 cup water,1/2 cup chopped onion,1/3 cup chopped green bell pepper,1/3 cup chopped sweet red pepper,1 tablespoon chili powder,1/2 teaspoon salt,10 cups, 50   Minutes, 40   Minutes, 10   Minutes,http://bbcdn.ar-cdn.com/Recipes/XLarge/146449.jpg,"Even non-Texans are sure to love this Texas-style chili with lean steak, pinto beans and cayenne pepper.",Texas Chili,,1/4 teaspoon cayenne pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
